assessment_name,url,description,test_type,skills
Go Digital and Deliver a Superior Experience,https://www.shl.com/products/assessments/assessment-and-development-centers/,Our end-to-end virtual assessment and development centers provide the most efficient and accurate way of identifying potential from anywhere in the world.,Other,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
Situational Judgement Tests,https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,"Using our Situational Judgment Tests (SJT), you can measure candidates' behavioral fit to a given role by assessing their response to a specific work situation.",Behavioral,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
SHL Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/,"Measure candidates' potential and ability to learn, adapt, and succeed in any role with SHL's cognitive ability tests and assessments.",Cognitive,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
Skills Assessments that Predict On-the-job Success,https://www.shl.com/products/assessments/job-focused-assessments/,Measure the skills needed to succeed in any role with pre-packaged skills assessments. Fast and accurate measurement of job-relevant skills.,Other,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
SHL Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/,"Improve your hiring process with science-backed personality assessments that reveal each candidate’s preferences, motivations, and remote-work capability.",Personality & Behavior,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
SHL Motivational Questionnaire,https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,"Build an engaged, high-performing workforce using our motivation questionnaire (MQ) by matching individual employee motivation to team and organizational goals.",Personality & Behavior,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
Business Skills Assessment Tests for Deep Insights,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/,"With our computer literacy test, assess candidates' Microsoft Office proficiency, such as working with graphs and charts, creating presentations, and more.",Knowledge & Skills,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
Assess Agents in a Real Contact Center Environment,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/,SHL’s Call Center Simulations and assessment tool helps you to identify agents with the critical competencies and personality in a real-life call center environment.,Knowledge & Skills,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
SHL Coding Skills Assessment and Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,"Shortlist 45% more candidates within half the usual hiring time with our coding skills assessment for full stack, data engineering, front-end and more roles.",Knowledge & Skills,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
AI-powered Language Proficiency Tests,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,"SHL’s AI-powered suite of communication and language proficiency tests automates language assessment, helping you to faster find and hire the right people.",Knowledge & Skills,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
"Fast, Simple Technical Skill Assessment",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,"SHL Technical Skills assessment helps you to measure knowledge of 180+ technology concepts in less than 15 minutes for Full Stack, Front-end, Data Science, DevOps, and more roles.",Knowledge & Skills,"['CareersOur CultureOur TeamsOur PeopleJoin SHLLatest Jobs', 'Candidate Support', 'Contact', 'Buy Online', ""Global OfficesSHL's locations around the world."", 'Succession Planning', 'Technical Skills', 'Awards & Accolades']"
